BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
11214,,11214,"Technic, Axle  1L with Pin 2L with Friction Ridges",1,15,White,Solid Colors,4,0.35
11478,6259826,11478,"Technic, Liftarm Thin 1 x 5 - Axle Holes",1,15,White,Solid Colors,8,0.7
14720,,14720,"Technic, Liftarm, Modified H-Shape Thick 3 x 5 Perpendicular",1,15,White,Solid Colors,2,2.29
15100,6282148,15100,"Technic, Pin with Friction Ridges and Pin Hole",1,15,White,Solid Colors,12,0.4
15462,,15462,"Technic, Axle  5L with Stop",1,15,White,Solid Colors,1,0.73
18654,6177114,18654,"Technic, Liftarm Thick 1 x 1 (Spacer)",1,15,White,Solid Colors,6,0.17
18942,,18942,"Technic, Gear Rack 1 x 14 x 2 with Axle and Pin Holes",1,15,White,Solid Colors,2,7.5
18946,,18946,"Technic, Gear 16 Tooth with Clutch on Both Sides",1,15,White,Solid Colors,1,0.84
22961,6179606,22961,"Technic, Axle and Pin Connector Hub with 1 Axle",1,15,White,Solid Colors,6,0.34
23948,,23948,"Technic, Axle 11L",1,15,White,Solid Colors,3,1.65
2431,243101,2431,Tile 1 x 4,1,15,White,Solid Colors,12,0.54
24316,,24316,"Technic, Axle  3L with Stop",1,15,White,Solid Colors,2,0.45
2780,,2780,"Technic, Pin with Friction Ridges",1,15,White,Solid Colors,10,0.16
3009,300901,3009,Brick 1 x 6,1,15,White,Solid Colors,12,2.42
3010,301001,3010,Brick 1 x 4,1,15,White,Solid Colors,2,1.64
3023,302301,3023,Plate 1 x 2,1,15,White,Solid Colors,2,0.36
3034,303401,3034,Plate 2 x 8,1,15,White,Solid Colors,2,2.27
32002,,32002,"Technic, Pin 3/4",1,15,White,Solid Colors,4,0.11
32013,6332573,32013,"Technic, Axle and Pin Connector Angled #1",1,15,White,Solid Colors,14,0.46
32034,6271870,32034,"Technic, Axle and Pin Connector Angled #2 - 180 degrees",1,15,White,Solid Colors,2,0.68
32039,6310906,32039,"Technic, Axle Connector with Axle Hole",1,15,White,Solid Colors,5,0.3
32054,4193409,32054,"Technic, Pin 3L with Friction Ridges and Stop Bush",1,15,White,Solid Colors,8,0.33
