BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
18942,6273338,18942,"Technic, Gear Rack 1 x 14 x 2 with Axle and Pin Holes",85,72,Dark Bluish Gray,Solid Colors,2,7.5
2431,243126,2431,Tile 1 x 4,11,0,Black,Solid Colors,12,0.54
32054,6321745,32054,"Technic, Pin 3L with Friction Ridges and Stop Bush",11,0,Black,Solid Colors,4,0.33
32523,4142822,32523,"Technic, Liftarm Thick 1 x 3",11,0,Black,Solid Colors,3,0.7
32532,4188143,32532,"Technic, Brick 6 x 8 Open Center",11,0,Black,Solid Colors,6,8
32556,6321305,32556,"Technic, Pin 3L without Friction Ridges",2,19,Tan,Solid Colors,14,0.25
3706,370626,3706,"Technic, Axle  6L",11,0,Black,Solid Colors,2,0.94
4162,416226,4162,Tile 1 x 8,11,0,Black,Solid Colors,12,1.06
43093,4206482,43093,"Technic, Axle  1L with Pin with Friction Ridges",7,1,Blue,Solid Colors,8,0.26
44294,4211805,44294,"Technic, Axle  7L",86,71,Light Bluish Gray,Solid Colors,2,1.05
6541,4119014,6541,"Technic, Brick 1 x 1 with Hole",7,1,Blue,Solid Colors,8,0.38
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
73,98.22,,,,,,,,
