Wall time,Step,Value
1667796982.6654406,100000,62.0260009765625
1667797252.9942293,200000,60.92178726196289
1667797520.2293534,300000,55.43767547607422
1667797792.9179392,400000,39.60795593261719
1667798064.7658603,500000,21.08436393737793
1667798358.2923467,600000,13.45378303527832
1667798808.0662048,700000,9.944061279296875
1667799017.272099,800000,7.763210773468018
1667799231.1495993,900000,6.778875350952148
1667799446.4931219,1000000,5.995451927185059
1667799670.2647483,1100000,5.398055076599121
1667799887.5906153,1200000,5.04006290435791
1667800105.3887937,1300000,4.689696311950684
1667800329.3215346,1400000,4.366099834442139
1667800551.602313,1500000,4.243524074554443
1667800775.4968104,1600000,4.114174842834473
1667801001.6825144,1700000,3.8705532550811768
